,n,epsilon,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
109,500,1.2,10,450,0.956,0.8403712051724557
110,500,1.2,10,500,0.948,0.8403712051724557
111,500,1.2,10,550,0.962,0.8403712051724557
112,500,1.2,10,600,0.992,0.8403712051724557
113,500,1.2,10,650,0.996,0.8403712051724557
114,500,1.2,10,700,0.996,0.8403712051724557
115,500,1.2,10,750,1.0,0.8403712051724557
116,500,1.2,10,800,1.0,0.8403712051724557
117,500,1.2,10,850,1.0,0.8403712051724557
118,500,1.2,10,900,1.0,0.8403712051724557
119,500,1.2,10,950,1.0,0.8403712051724557
120,500,1.3,10,400,0.888,0.747095843120951
121,500,1.3,10,450,0.9339999999999999,0.747095843120951
122,500,1.3,10,500,0.942,0.747095843120951
123,500,1.3,10,550,0.956,0.747095843120951
124,500,1.3,10,600,0.978,0.747095843120951
125,500,1.3,10,650,0.996,0.747095843120951
126,500,1.3,10,700,0.998,0.747095843120951
127,500,1.3,10,750,1.0,0.747095843120951
128,500,1.3,10,800,1.0,0.747095843120951
129,500,1.3,10,850,1.0,0.747095843120951
130,500,1.3,10,900,1.0,0.747095843120951
131,500,1.3,10,950,1.0,0.747095843120951
132,500,1.4,10,400,0.9359999999999999,0.6890693204945565
133,500,1.4,10,450,0.9299999999999999,0.6890693204945565
134,500,1.4,10,500,0.964,0.6890693204945565
135,500,1.4,10,550,0.98,0.6890693204945565
136,500,1.4,10,600,0.992,0.6890693204945565
137,500,1.4,10,650,0.998,0.6890693204945565
138,500,1.4,10,700,0.998,0.6890693204945565
139,500,1.4,10,750,1.0,0.6890693204945565
140,500,1.4,10,800,1.0,0.6890693204945565
141,500,1.4,10,850,1.0,0.6890693204945565
142,500,1.4,10,900,1.0,0.6890693204945565
143,500,1.4,10,950,1.0,0.6890693204945565
