,trial,n,epsilon,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
102,0,500,1.1,10,700,1.0,0.9037345576209043
103,0,500,1.1,10,750,1.0,0.9037345576209043
104,0,500,1.1,10,800,1.0,0.9037345576209043
105,0,500,1.1,10,850,1.0,0.9037345576209043
106,0,500,1.1,10,900,1.0,0.9037345576209043
107,0,500,1.1,10,950,1.0,0.9037345576209043
108,0,500,1.2,10,400,0.996,0.8304528909693799
109,0,500,1.2,10,450,0.994,0.8304528909693799
110,0,500,1.2,10,500,0.998,0.8304528909693799
111,0,500,1.2,10,550,1.0,0.8304528909693799
112,0,500,1.2,10,600,1.0,0.8304528909693799
113,0,500,1.2,10,650,1.0,0.8304528909693799
114,0,500,1.2,10,700,1.0,0.8304528909693799
115,0,500,1.2,10,750,1.0,0.8304528909693799
116,0,500,1.2,10,800,1.0,0.8304528909693799
117,0,500,1.2,10,850,1.0,0.8304528909693799
118,0,500,1.2,10,900,1.0,0.8304528909693799
119,0,500,1.2,10,950,1.0,0.8304528909693799
120,0,500,1.3,10,400,0.996,0.8171326354864863
121,0,500,1.3,10,450,0.998,0.8171326354864863
122,0,500,1.3,10,500,0.998,0.8171326354864863
123,0,500,1.3,10,550,0.996,0.8171326354864863
124,0,500,1.3,10,600,1.0,0.8171326354864863
125,0,500,1.3,10,650,1.0,0.8171326354864863
126,0,500,1.3,10,700,1.0,0.8171326354864863
127,0,500,1.3,10,750,1.0,0.8171326354864863
128,0,500,1.3,10,800,1.0,0.8171326354864863
129,0,500,1.3,10,850,1.0,0.8171326354864863
130,0,500,1.3,10,900,1.0,0.8171326354864863
131,0,500,1.3,10,950,1.0,0.8171326354864863
132,0,500,1.4,10,400,0.996,0.6497693860509992
133,0,500,1.4,10,450,1.0,0.6497693860509992
134,0,500,1.4,10,500,1.0,0.6497693860509992
135,0,500,1.4,10,550,1.0,0.6497693860509992
136,0,500,1.4,10,600,1.0,0.6497693860509992
137,0,500,1.4,10,650,1.0,0.6497693860509992
138,0,500,1.4,10,700,1.0,0.6497693860509992
139,0,500,1.4,10,750,1.0,0.6497693860509992
140,0,500,1.4,10,800,1.0,0.6497693860509992
141,0,500,1.4,10,850,1.0,0.6497693860509992
142,0,500,1.4,10,900,1.0,0.6497693860509992
143,0,500,1.4,10,950,1.0,0.6497693860509992
144,1,500,0.3,10,400,0.79,2.8821510899602987
145,1,500,0.3,10,450,0.836,2.8821510899602987
146,1,500,0.3,10,500,0.792,2.8821510899602987
147,1,500,0.3,10,550,0.798,2.8821510899602987
148,1,500,0.3,10,600,0.88,2.8821510899602987
149,1,500,0.3,10,650,0.87,2.8821510899602987
150,1,500,0.3,10,700,0.838,2.8821510899602987
151,1,500,0.3,10,750,0.892,2.8821510899602987
152,1,500,0.3,10,800,0.91,2.8821510899602987
153,1,500,0.3,10,850,0.914,2.8821510899602987
154,1,500,0.3,10,900,0.92,2.8821510899602987
155,1,500,0.3,10,950,0.9359999999999999,2.8821510899602987
156,1,500,0.4,10,400,0.832,2.618229001562842
157,1,500,0.4,10,450,0.812,2.618229001562842
158,1,500,0.4,10,500,0.86,2.618229001562842
159,1,500,0.4,10,550,0.858,2.618229001562842
160,1,500,0.4,10,600,0.91,2.618229001562842
161,1,500,0.4,10,650,0.882,2.618229001562842
162,1,500,0.4,10,700,0.914,2.618229001562842
163,1,500,0.4,10,750,0.956,2.618229001562842
164,1,500,0.4,10,800,0.946,2.618229001562842
165,1,500,0.4,10,850,0.956,2.618229001562842
166,1,500,0.4,10,900,0.97,2.618229001562842
167,1,500,0.4,10,950,0.944,2.618229001562842
168,1,500,0.5,10,400,0.794,1.7798117629329782
169,1,500,0.5,10,450,0.89,1.7798117629329782
170,1,500,0.5,10,500,0.878,1.7798117629329782
171,1,500,0.5,10,550,0.9299999999999999,1.7798117629329782
172,1,500,0.5,10,600,0.922,1.7798117629329782
173,1,500,0.5,10,650,0.942,1.7798117629329782
174,1,500,0.5,10,700,0.978,1.7798117629329782
175,1,500,0.5,10,750,0.958,1.7798117629329782
176,1,500,0.5,10,800,0.97,1.7798117629329782
177,1,500,0.5,10,850,0.98,1.7798117629329782
178,1,500,0.5,10,900,0.992,1.7798117629329782
179,1,500,0.5,10,950,0.986,1.7798117629329782
180,1,500,0.6,10,400,0.92,2.0511473675334937
181,1,500,0.6,10,450,0.916,2.0511473675334937
182,1,500,0.6,10,500,0.968,2.0511473675334937
183,1,500,0.6,10,550,0.944,2.0511473675334937
